2025-12-12 02:48:37,189 - uvicorn.error - INFO - Started server process [7328]
2025-12-12 02:48:37,203 - uvicorn.error - INFO - Waiting for application startup.
2025-12-12 02:48:37,464 - uvicorn.error - INFO - Application startup complete.
2025-12-12 02:48:58,933 - llm_client - ERROR - Error generating LLM response (attempt 1/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99997, Requested 375. Please try again in 5m21.408s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:49:06,012 - llm_client - ERROR - Error generating LLM response (attempt 2/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99994, Requested 778. Please try again in 11m7.008s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:49:06,036 - llm_client - ERROR - Error generating LLM response (attempt 3/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99994, Requested 779. Please try again in 11m7.872s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:49:06,145 - llm_client - ERROR - Error generating LLM response (attempt 2/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99994, Requested 780. Please try again in 11m8.736s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:49:07,918 - llm_client - ERROR - Error generating LLM response (attempt 3/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99992, Requested 776. Please try again in 11m3.552s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:49:07,962 - llm_client - ERROR - Error generating LLM response (attempt 3/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99991, Requested 776. Please try again in 11m2.688s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:49:08,206 - llm_client - ERROR - Error generating LLM response (attempt 3/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99991, Requested 778. Please try again in 11m4.416s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:49:08,240 - llm_client - ERROR - Error generating LLM response (attempt 3/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99991, Requested 780. Please try again in 11m6.144s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:51:38,751 - uvicorn.error - INFO - Shutting down
2025-12-12 02:51:38,903 - uvicorn.error - INFO - Waiting for application shutdown.
2025-12-12 02:51:38,946 - uvicorn.error - INFO - Application shutdown complete.
2025-12-12 02:51:38,966 - uvicorn.error - INFO - Finished server process [7328]
2025-12-12 02:52:48,278 - uvicorn.error - INFO - Started server process [22416]
2025-12-12 02:52:48,285 - uvicorn.error - INFO - Waiting for application startup.
2025-12-12 02:52:48,382 - uvicorn.error - INFO - Application startup complete.
2025-12-12 02:52:51,620 - llm_client - ERROR - Error generating LLM response (attempt 1/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99733, Requested 375. Please try again in 1m33.312s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:51,632 - llm_client - ERROR - Error generating LLM response (attempt 1/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99733, Requested 377. Please try again in 1m35.04s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:51,642 - llm_client - ERROR - Error generating LLM response (attempt 1/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99733, Requested 375. Please try again in 1m33.312s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:51,866 - llm_client - ERROR - Error generating LLM response (attempt 1/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99732, Requested 373. Please try again in 1m30.72s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:52,810 - llm_client - ERROR - Error generating LLM response (attempt 1/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99731, Requested 377. Please try again in 1m33.312s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:52,964 - llm_client - ERROR - Error generating LLM response (attempt 2/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99731, Requested 375. Please try again in 1m31.584s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:53,061 - llm_client - ERROR - Error generating LLM response (attempt 2/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99731, Requested 377. Please try again in 1m33.312s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:53,125 - llm_client - ERROR - Error generating LLM response (attempt 2/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99731, Requested 375. Please try again in 1m31.584s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:53,248 - llm_client - ERROR - Error generating LLM response (attempt 2/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99731, Requested 373. Please try again in 1m29.856s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:54,265 - llm_client - ERROR - Error generating LLM response (attempt 2/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99730, Requested 377. Please try again in 1m32.448s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:55,051 - llm_client - ERROR - Error generating LLM response (attempt 3/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99729, Requested 375. Please try again in 1m29.856s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:55,203 - llm_client - ERROR - Error generating LLM response (attempt 1/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99728, Requested 375. Please try again in 1m28.992s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:55,213 - llm_client - ERROR - Error generating LLM response (attempt 3/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99728, Requested 377. Please try again in 1m30.72s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:55,264 - llm_client - ERROR - Error generating LLM response (attempt 3/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99728, Requested 375. Please try again in 1m28.992s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:55,284 - llm_client - ERROR - Error generating LLM response (attempt 1/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99728, Requested 373. Please try again in 1m27.264s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:55,355 - llm_client - ERROR - Error generating LLM response (attempt 3/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99728, Requested 373. Please try again in 1m27.264s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:55,365 - llm_client - ERROR - Error generating LLM response (attempt 1/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99728, Requested 375. Please try again in 1m28.992s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:55,534 - llm_client - ERROR - Error generating LLM response (attempt 1/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99728, Requested 373. Please try again in 1m27.264s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:56,283 - llm_client - ERROR - Error generating LLM response (attempt 2/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99727, Requested 375. Please try again in 1m28.128s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:56,363 - llm_client - ERROR - Error generating LLM response (attempt 3/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99727, Requested 377. Please try again in 1m29.856s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:56,450 - llm_client - ERROR - Error generating LLM response (attempt 2/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99727, Requested 373. Please try again in 1m26.4s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:56,487 - llm_client - ERROR - Error generating LLM response (attempt 1/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99727, Requested 373. Please try again in 1m26.4s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:56,534 - llm_client - ERROR - Error generating LLM response (attempt 2/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99727, Requested 375. Please try again in 1m28.128s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:56,586 - llm_client - ERROR - Error generating LLM response (attempt 2/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99727, Requested 373. Please try again in 1m26.4s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:57,685 - llm_client - ERROR - Error generating LLM response (attempt 2/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99726, Requested 373. Please try again in 1m25.536s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:58,442 - llm_client - ERROR - Error generating LLM response (attempt 3/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99725, Requested 375. Please try again in 1m26.4s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:58,696 - llm_client - ERROR - Error generating LLM response (attempt 1/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99724, Requested 377. Please try again in 1m27.264s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:58,781 - llm_client - ERROR - Error generating LLM response (attempt 3/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99724, Requested 373. Please try again in 1m23.808s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:58,801 - llm_client - ERROR - Error generating LLM response (attempt 3/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99724, Requested 375. Please try again in 1m25.536s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2025-12-12 02:52:58,934 - llm_client - ERROR - Error generating LLM response (attempt 1/3): Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01j040vqe9es6aewrwmfv8xfyr` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99724, Requested 377. Please try again in 1m27.264s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
